0;blackpool, lancashire;53.8179442, -3.0509812;1
1;windsor, berkshire;51.4800285, -0.6125716;1
2;wirral, cheshire;53.3409714, -3.0500916;1
3;eccles, lancashire;55.6657728, -2.377732;1
4;harwich;51.9445801, 1.2898522;1
5;West Stirlingshire, Stirlingshire and Clackmannanshire;56.150455, -3.848063;0
6;wrexham, denbighshire;53.0465084, -2.9937869;1
7;ludlow, shropshire;52.3679896, -2.7193114;1
8;southampton;50.8953905, -1.3480964907954378;1
9;lanarkshire;55.5752966, -3.833333;1
10;newry;54.1775283, -6.337506;1
11;rutherglen, lanarkshire;55.8283888, -4.2116533;0.5
12;merthyr tydfil, aberdare;51.7455659, -3.3786082;1
13;birmingham, duddeston;52.4884888, -1.8712807;0.5
14;plymouth, drake;50.393988, -4.113637;0.5
15;cornwall, penryn and falmouth;50.138951, -5.090249;0
16;watford, hertfordshire;51.6553875, -0.3957425;1
17;stirlingshrie and clackmannanshir;;
18;partick, lanarkshire;55.8685425, -4.308412;0
19;st andrews;56.3403902, -2.7955844;1
20;monmouth;51.8098882, -2.7160441;1
21;monaghan county;54.2117656, -6.7962973;0
22;kerry east;51.51449455, -0.05857245931016587;0.9
23;glasgow, partick;55.8699211, -4.3094365;0.5714285714285714
24;kincardineshire;56.925681, -2.458549;1
25;woodstock, oxfordshire;51.8942879, -4.8765902;1
26;droitwich;52.26851, -2.1486075;1
27;kirkcudbrightshire;55, -4;1
28;queen's county;51.780964499999996, -1.4973095399951668;0.6561000000000001
29;king's county;54.1790491, -6.337904624659713;0.9
30;luton, bedfordshire;51.8784385, -0.4152837;1
31;eccles;55.6657728, -2.377732;1
32;lisburn;54.5112913, -6.0466736;1
33;liverpool, walton;53.4516732, -2.9578365465357654;1
34;leicestershire;52.666667, -1;1
35;somerset, frome;51.2309875, -2.3216982;0.5
36;birmingham, edgbaston;52.47100415, -1.921455396432302;0.81
37;blackpool;53.8179442, -3.0509812;1
38;evesham;52.0940158, -1.9483083;1
39;cockermouth;54.6614392, -3.3590111;1
40;kingswinford, staffordshire;52.4967692, -2.1661721;1
41;down;54.3518644, -5.961616475076931;1
42;stirling and falkirk;56.291291, -4.452616;1
43;walthamstow;51.5844701, -0.0188186;1
44;liverpool, exchange;53.410374, -2.979375;0.5
45;grantham;52.913192, -0.6438974;1
46;paddington;51.5154795, -0.175365;1
47;donegal county;52.205858, 0.136471;0.9
48;paisley;55.8455828, -4.4239646;1
49;southwark, bermondsey;51.4978011, -0.0816432;0.9
0;caithness and sutherland;58.5147311, -3.4928939;0.567
1;westmeath;52.6353168, -1.071519;1.0
2;flint;53.2492828, -3.1345262;1.0
3;westminster, abbey;51.4981579, -0.1319441;0.81
4;preston;53.7593363, -2.6992717;1.0
5;cambridgeshire;52.333333, 0.083333;1.0
6;sheffield;53.3806626, -1.4702278;1.0
