0;krikcaldy;;
1;dunfermline;56.0713724, -3.4616183;1
2;taunton;51.0147895, -3.1029086;1
3;wareham;50.6868972, -2.1098377;1
4;leominster, hereforedshire;52.223206, -2.738751;0.81
5;clitheroe;53.8717465, -2.3926783;1
6;wakefield;53.6829541, -1.4967286;1
7;orkney and shetland;58.9819908, -2.9596737;0.7290000000000001
8;tower hamlets,bow and bromley;52.49162, -2.138843;0
9;glasgow, bridgeton;55.861155, -4.2501687;1
10;downpatrick;54.3279335, -5.71649;1
11;aylesbury;51.8161412, -0.8130383;1
12;iverness;;
13;kin, perthshire and kinross-shire;56.206555, -3.43298;0
14;cumberland, eskdale;54.386061, -3.3129036;0.5
15;evesham, worcestershire;52.0940158, -1.9483083;1
16;poplar;51.5110713, -0.0144629;1
17;lambeth, norwood;51.42213455, -0.10798745695267944;0.9
18;surreey, kingston;;
19;fermanagh and tyrone;54.591775150000004, -7.271427147416087;0.9
20;blackpool, lancashire;53.8179442, -3.0509812;1
21;glamorganshire;51.7352168, -3.3761498;1
22;llandaff and barr, glamorganshire;52.545319, -1.901123;0
23;devon, barnstaple;51.0804057, -4.0600467;0.5
24;breconshire;52.9875065, -1.1773256;1
25;bridgwater;51.1283378, -3.0037046;1
26;durham, sedgefield;54.7770139, -1.5756205;1
27;frome;51.2309875, -2.3216982;1
28;iverness-shire;;
29;manchester, gorton;53.4646143, -2.176838216999516;0.7290000000000001
30;peeplesshire and selkirkshire;;
31;montrose;56.7114295, -2.4681544;1
32;armagh;54.3481977, -6.6540432;1
33;walsall;52.5847949, -1.9822687;1
34;glasgow, st rollox;55.8721146, -4.2336294;0.6666666666666667
35;londonberry south;50.4, -3.83333;0.63
36;kent, canterbury;51.2800275, 1.0802533;0
37;lisburn;54.5112913, -6.0466736;1
38;stourbridge, worcestershire;52.4577615, -2.1474345;1
39;rutland and stamfor, lincolnshire;52.655389, -0.468268;0
40;andover, hampshire;51.2078275, -1.479355;1
41;peeblesshire;55.6454616, -3.1721946;1
42;great marlow;51.586075949999994, -0.8013756797940633;1
43;helston;50.1016731, -5.273032;1
44;huntingdonshire;52.37104395, -0.22357789271655937;1
45;southampton;50.8953905, -1.3480964907954378;1
46;partick, lanarkshire;55.8685425, -4.308412;0
47;rutlandshire;;
48;swansea, district;51.6576223, -3.8715324;1
49;esex, walthamstow;;
0;lewes;50.8746139, 0.005115324110936268;1
1;kidderminster, worcestershire;52.3880787, -2.2478582;1
2;sussex, rye;50.9511871, 0.7327667;0.5
3;leyton;51.5568183, -0.0051322;1
4;radnor;51.36456775, -0.1711469014878434;1
5;stirlingshire and clackmannanshir;;
6;kent, turnbridge;51.302492, 0.585529;0
7;northamptonshire;52.3106138, -0.8659129831915817;1
8;essex;51.77046785, 0.46466977412300386;1
9;monmouthshire;51.7501058, -2.8333331;1
10;dundee;56.4605938, -2.97019;1
11;anglesey;53.2782273, -4.33133929345189;1
12;preston;53.7593363, -2.6992717;1
13;stoke-on-trent, stoke;53.0162014, -2.1812607;1
14;motherwell, lanarkshire;55.7902072, -3.9920191;0.5
15;kirkcudbrightshire;55, -4;1
16;tower hamlets, whitechapel;51.5095303, -0.075386;0.63
17;ayr;55.4628044, -4.6302502;1
18;carlisle;54.8948478, -2.9362311;1
19;eifion, caernarvonshire;53.106597, -4.27376;0.5103
20;surrey, reigate;51.33585, -0.66199;0.9
21;cricklade;51.6414188, -1.8579414;1
22;st pancras;51.5259149, -0.1290973;1
23;bedford, bedfordshire;52.1363806, -0.4675041;1
24;wigtownshire;54.8975188, -5.0214808;1
25;belfast north;54.617670000000004, -5.905466922187719;1
26;colchester;51.8896903, 0.8994651;1
27;kincardineshire;56.925681, -2.458549;1
28;dorchester;50.7132064, -2.4371229;1
29;hereford;52.0553813, -2.7151735;1
30;fylde, lancashire;53.79336215, -2.89426008005;0
31;darwen, lancashire;53.6960957, -2.4665093;1
32;wimbledon;51.4214787, -0.2064027;1
33;rowburghshire;;
34;nelson and colne;53.84462805, -2.2216431082180117;0.9
35;newcasle-upon-tyne;54.989692, -1.627914;1
36;gloamorganshire;;
37;windsor, berkshire;51.4800285, -0.6125716;1
38;surrey, epsom;51.3347075, -0.268833;0.567
39;stretford, lancashire;53.445428, -2.3223051;1
40;halifax;53.7229229, -1.8604874;1
41;dewsbury;53.6909103, -1.6302142;1
42;kensington;51.4989948, -0.1991229;1
43;abingdon;51.6714842, -1.2779715;1
44;mossley, lancashire;53.51638545, -2.0235190148351148;1
45;ince, lancashire;53.2828816, -2.8250708;1
46;kent, dartford;51.4443059, 0.21807;0.567
47;cornwall, camborne;50.2138828, -5.2990347;0
48;huddersfield;53.6466645, -1.7822482;1
49;devizes;51.3525027, -1.9958302;1
0;cumberland, workington;54.6415716, -3.5459287;1
1;oldham;53.5415797, -2.1147831;1
2;stoke newington;51.5578698, -0.0822482;1
3;pembrokeshire;51.8339209, -4.916667;1
4;essex, saffron walden;52.021569, 0.2411256;0.6666666666666667
5;westminster, abbey;51.4981579, -0.1319441;0.81
6;cambridge;52.2055314, 0.1186637;1
7;stafforshire;;
8;devon, torquay;50.75632, -3.23487;0.567
9;aylesbury, buckinghamshire;51.8161412, -0.8130383;1
10;cricklade, wiltshire;51.6414188, -1.8579414;1
11;tyrone county;54.6008742, -7.283036973903879;1
12;kent;51.2474823, 0.7105077;1
13;honiton;50.7981119, -3.1924599;1
14;wiltshire;51.25, -1.916667;1
15;stirling;56.1181242, -3.9360012;1
16;caithness;58.404267000000004, -3.4340269886950203;1
17;carmarthenshire;51.893669849999995, -4.217282721429928;1
18;durham, houghton-le-spring;54.839602, -1.470191;0.7142857142857143
19;cumberland;54.67842505, -3.304001955591123;1
20;kent, isle of thanet;51.3243438, 1.3314426;0.75
21;rochester, chatham;51.3754569, 0.518893;0.9
22;westminster;51.4973206, -0.137149;1
23;per, perthshire and kinross-shire;56.206555, -3.43298;0
24;durham, chester-le-street;54.851235, -1.573085;0.9
25;falkirk;56.00205085, -3.749622841384784;1
26;launceston;50.6365062, -4.3604432;1
27;lichfield, staffordshire;52.6843696, -1.8275286;1
28;bermondsey;51.4970125, -0.063268;1
29;cornwall, stives;50.443348900000004, -4.62465658489158;0.5
30;huntingdon;52.3314292, -0.1847723;1
31;Western Isles, Inverness-shire and Ross and Cromarty;;
32;cumberland, egremont;54.4838316, -3.5327921;0.5
33;linlithgowshire;55.916667, -3.5;1
34;newington, walworth;51.488681, -0.090476;0
35;cornwall, penryn and falmouth;50.138951, -5.090249;0
36;merionethshire;52.79397995, -3.8749544943258853;1
37;devon, totnes;50.4322816, -3.6871525;0.5
38;great grimsby;53.5671407, -0.0788045;1
39;lambeth;51.4952111, -0.1163354;1
40;manchester, platting;53.483872149999996, -2.20408596139014;0.567
41;newcastle-under-lyme;53.0117627, -2.2273919;1
42;suffolk, eye;52.3226292, 1.1463709;0.9
43;stratford-on-avon, warwickshire;52.1927803, -1.70634;1
44;westmorland, kendal;54.3322466, -2.7401448;0.81
45;enniskillen;54.3448538, -7.6389365;1
46;cockermouth;54.6614392, -3.3590111;1
47;new ross;51.72051, -3.2413;0.567
48;windsor;51.4800285, -0.6125716;1
49;kidderminster;52.3880787, -2.2478582;1
0;loughborough, leicestershire;52.7723859, -1.2077985;1
1;somerset, yeovil;50.944553049999996, -2.6095621787951884;0.567
2;bournemouth;50.720097, -1.8799272;1
3;linconlnshire;;
4;bridgnorth;52.5345626, -2.4194132;1
5;buckingham;51.9983175, -0.9786725;1
6;bristol;51.4538022, -2.5972985;1
7;manchester, moss side;53.365183, -2.2720385;0.63
8;kingston upon hull;53.7435722, -0.3394758;1
9;surrey, farnham;51.2109359, -0.7937917;0.567
10;finsbury, holborn;51.526403, -0.105606;0
11;peterborough;52.5725769, -0.2427336;1
12;birmingham, yardley;52.493265, -1.937593;0.63
13;dartmouth;50.3514839, -3.583844;1
14;barnstable;51.59011705, -2.524661201066831;1
15;somerset;51.161750850000004, -3.0753867062227487;1
16;coleraine;55.1315912, -6.671861;1
17;glasgow, partick;55.8699211, -4.3094365;0.5714285714285714
18;northampton;52.2378853, -0.8963639;1
19;york;53.9590555, -1.0815361;1
20;hitchin, hertfordshire;51.9464129, -0.2791646;1
21;durham, durham;54.7770139, -1.5756205;1
22;southwark;51.503925, -0.1049663;1
23;malton;54.1349419, -0.7965915;1
24;liverpool, everton;53.424389, -2.966944;0.567
25;down;54.3518644, -5.961616475076931;1
26;cornwall, truro;50.2633173, -5.0518107;0.5
27;gateshead;54.9625789, -1.6019294;1
28;middlesex, harrow;51.58462, -0.329158;0.9
29;cheltenham;51.8995685, -2.0711559;1
