10;glamorganshire;51.7352168, -3.3761498;1
11;glasgow;55.861155, -4.2501687;1
12;southwark;51.503925, -0.1049663;1
13;staffordshire;52.824694199999996, -2.0074546723348115;1
14;west bromwich;52.5186579, -1.9923114;1
15;herefordshire;52.083333, -2.75;1
16;leominster, herefordshire;52.2273558, -2.7375333;1
17;hertford;51.7957409, -0.078521;1
18;wellingborough, northamptonshire;52.30189, -0.6937309;1
19;wilton;51.0805315, -1.8607051;1
20;essex, chelmsford;51.54450755, 0.5840084067307691;0.81
21;stretford, lancashire;53.445428, -2.3223051;1
22;hereford;52.0553813, -2.7151735;1
23;camberwell, peckham;51.47402, -0.0914172;0.7290000000000001
24;flint;53.2492828, -3.1345262;1
25;manchester, moss side;53.4595044, -2.2356078;0.5904900000000001
26;monmouth, monmouthshire;51.8098882, -2.7160441;1
27;cirenchester;;
28;roxburghshire;55.5, -2.5;1
29;stirling;56.1181242, -3.9360012;1
30;heywood, lancashire;53.5967685, -2.2239715;1
31;fermanagh south;54.252321949999995, -7.557459924531137;0.567
32;stratford-on-avon, warwickshire;52.1927803, -1.70634;1
33;essex, walthamstow;51.58688785, -0.0373355808890261;0
34;chorley, lancashire;53.6531915, -2.6294313;1
35;eddisbury, cheshire;53.2198327, -2.6710783;0.9
36;frome;51.2309875, -2.3216982;1
37;wandsworth, clapham;51.4702083, -0.139762;0.81
38;armagh county;54.3481977, -6.6540432;0.9
39;wycombe, buckinghamshire;51.627422, -0.7484153;0.9
40;devon, honiton;50.7981119, -3.1924599;0.5
41;liverpool, exchange;53.410374, -2.979375;0.5
42;antrim east;54.719697, -6.216839;0.9
43;fareham, hampshire;50.8526637, -1.1783134;1
44;kendal;54.3289795, -2.747183;1
45;spalding, lincolnshire;52.787641, -0.1526475;1
46;middlesex, uxbridge;51.5449509, -0.4816672;0.5
47;stoke-on-trent;53.0162014, -2.1812607;1
48;salisbury, wiltshire;51.0690613, -1.7954134;1
49;deptford;51.4758453, -0.0215164;1
0;battersea and clapham ii;52.6235358, 1.2944737751526694;0.63
1;hyde, cheshire;53.4508687, -2.0782603;1
2;sheffiled, attercliffe;53.3944795, -1.4315196;0.5
3;ashton-under-lyne;53.4865407, -2.098691;1
4;ogmore, glamoranshire;51.6023, -3.54217;0.81
5;ludlow;52.3679896, -2.7193114;1
6;hitchin, hertfordshire;51.9464129, -0.2791646;1
7;woodstock;51.8942879, -4.8765902;1
8;denbigh, denbighshire;53.1853776, -3.4178289;1
9;birmingham, yardley;52.493265, -1.937593;0.63
10;glasgow, maryhill;55.861155, -4.2501687;1
11;birmingham, ladywood;52.4731, -1.9183;0.567
12;surrey, wimbledon;51.404853, -0.304818;0.567
13;elginshire and nairnshire;;
14;tyrone county;53.20444, -8.90639;0.9
15;tyrone north-east;53.20444, -8.90639;0.81
16;southport;53.6475988, -3.0041751;1
17;aberdeenshire and kincardineshire;;
18;lambeth;51.4952111, -0.1163354;1
19;macclesfield, cheshire;53.2606635, -2.1255158;1
20;linlithgowshire;55.916667, -3.5;1
21;weymouth and melcombe regis;50.62057, -2.45136;0
22;royton, lancashire;53.5652485, -2.1236085;1
23;chesterton, cambridgeshire;52.5723806, -2.3181227;1
24;plymouth, sutton;50.393988, -4.113637;0.5
25;pembroke;51.6754422, -4.9144858;1
26;birmingham, aston;52.5006916, -1.8841916;0.5
27;altrincham, cheshire;53.3839662, -2.3525463;1
28;ayrshire;55.5, -4.5;1
29;down east;51.1311372, 0.2636186;0.9
30;caernarvonshire;53.0296552, -4.2897999;1
31;petersfield;51.0024945, -0.9392027;1
32;merthyr tydfil, merthyr;51.7455659, -3.3786082;1
33;clitheroe, lancashire;53.8717465, -2.3926783;1
34;camberwell;51.4745706, -0.0925416;1
35;carow;;
36;hampstead;51.55653, -0.1783011;1
37;aberavon, glamorganshire;51.593815, -3.801832;0.5
38;bury st. edmunds;52.2460367, 0.7125173;1
39;evesham, worcestershire;52.0940158, -1.9483083;1
40;widnes, lancashire;53.3646888, -2.7283328;1
41;oxfordshire;51.833333, -1.25;1
42;swansea;51.6195955, -3.9459248;1
43;devon;50.724140500000004, -3.6607788161410735;1
44;iverness-shire and ross and croma;53.180191, -2.549774;0
45;newcastle-upon-tyne;54.989692, -1.627914;1
46;tewkesbury, gloucestershire;51.9937857, -2.1549574;1
47;reading;51.456659, -0.9696512;1
48;bridgwater;51.1283378, -3.0037046;1
49;portsmouth;50.800031, -1.0906023;1
0;surrey, mitcham;51.3532584, -0.7183142;0.9
1;argyll;57.8967251, -5.15604;1
2;gower, glamorganshire;51.584092, -4.103997;0.567
3;edmonton;51.6267968, -0.0769118;1
4;cambridgeshire;52.333333, 0.083333;1
5;rochester;51.3883811, 0.504925;1
6;kent, faversham;51.3158434, 0.8911283;0.5
7;kent, isle of thanet;51.3243438, 1.3314426;0.75
8;stepney, whitechapel and st georg;51.5175, -0.04292;0.19999999999999996
9;west ham, silvertown;51.536422349999995, 0.008701348886019065;0.81
10;carmarthen;51.8591257, -4.3115907;1
11;cornwall, camborne;50.2138828, -5.2990347;0
12;dumfriesshire;55.166667, -3.5;1
13;rossendale, lancashire;53.6848806, -2.261439758907419;1
14;windsor, berkshire;51.4800285, -0.6125716;1
15;coatbridge, lanarkshire;55.8622848, -4.0273166;1
16;lanark, lanarkshire;55.6736271, -3.7780361;0.5
17;cumberland, cockermouth;54.6614392, -3.3590111;1
18;east ham;51.5394005, 0.0526042;1
19;durham, durham;54.7770139, -1.5756205;1
20;newmarket, cambridgeshire;52.470827, -7.2633291;1
21;elgin;57.6487891, -3.3148459;1
22;birkenhead;53.3895177, -3.0248007;1
23;oxford;51.7520131, -1.2578499;1
24;enniskillen;54.3448538, -7.6389365;1
25;great marlow;51.586075949999994, -0.8013756797940633;1
26;birmingham, duddeston;52.4884888, -1.8712807;0.5
27;devizes, wiltshire;51.3525027, -1.9958302;1
28;lewisham;51.4624292, -0.0101787;1
29;paisley;55.8455828, -4.4239646;1
30;droitwich;52.26851, -2.1486075;1
31;southampton;50.8953905, -1.3480964907954378;1
32;cheltenham;51.8995685, -2.0711559;1
33;ebbw vale, monmouthshire;51.7812925, -3.2084383;1
34;cirencester, gloucestershire;51.7171029, -1.9661616;1
35;huntingdon, huntingdonshire;52.3314292, -0.1847723;1
36;hammersmith;51.4920377, -0.2236401;1
37;leigh, lancashire;53.4960455, -2.5171495;1
38;ramsey, huntingdonshire;51.9279381, 1.2206721;1
39;honiton;50.7981119, -3.1924599;1
40;greenock;55.9473423, -4.7564721;1
41;rutlandshire;;
42;cannock, staffordshire;52.688227, -2.0324197;1
43;llanelly, carmarthenshire;51.7300218, -4.3169784;0.7290000000000001
44;liverpool, kirkdale;53.44047405, -2.987070459687921;1
45;abertillery, monmouthshire;51.7299485, -3.1359867;1
46;somerset, bridgwater;51.13115255, -2.9829004220178925;0.9
47;cornwall, bodmin;50.470725, -4.7243205;0.5
48;belfast west;54.603533, -5.928807;0.9
49;radnor;51.36456775, -0.1711469014878434;1
0;ilkeston, derbyshire;52.9710869, -1.307171;1
1;leith;55.9725499, -3.1709492;1
2;belfast east;54.605322, -5.930401460730592;1
3;great grimsby;53.5671407, -0.0788045;1
4;gorton, lancashire;53.4636116, -2.1750359;1
5;cumberland, penrith;54.6607482, -2.740025;1
6;marlborough;51.4209962, -1.728952;1
7;brighton;50.8214626, -0.1400561;1
8;islington;51.5384287, -0.0999051;1
9;stirlingshire and clackmannanshir;;
10;leicestershire;52.666667, -1;1
11;durham, sedgefield;54.7770139, -1.5756205;1
12;surrey, kingston;52.1782, -0.033;1
13;sheffield;53.3806626, -1.4702278;1
14;perth;56.3958186, -3.4286805;1
15;glasgow, hillhead;55.879505, -4.290972;0.567
16;ilford;51.5582734, 0.0711669;1
17;berwick-upon-tweed;55.7692442, -2.0026472;1
18;stone, straffordshire;57.332026, -2.81547;0.81
19;londonberry south;50.4, -3.83333;0.63
20;basingstoke, hampshire;51.262826, -1.0861976;1
21;huntingdonshire;52.37104395, -0.22357789271655937;1
22;tamworth;52.6345819, -1.6948438;1
23;westbury;51.261079, -2.1836535;1
